label,name,review
1.0,mea_maxima_culpa_silence_in_the_house_of_god,Powerful and Heartbreaking
1.0,mea_maxima_culpa_silence_in_the_house_of_god,"HBO is free this weekend. A horror film of reality, Mea Maxima Culpa, should be seen by everyone. Kudos to Alex Gibney for giving 4 deaf men a voice and educating the public about 2000 years of cover-up."
1.0,mea_maxima_culpa_silence_in_the_house_of_god,"Un documental que todos los que nos enorgullecemos de ser ""Catolicos"" deberíamos ver. Una verdad demasiado fuerte."
1.0,mea_maxima_culpa_silence_in_the_house_of_god,One of the most amazing movies I've ever seen. Horribly sad but incredibly inspiring.
1.0,mea_maxima_culpa_silence_in_the_house_of_god,Santa Igreja Católica............
1.0,mea_maxima_culpa_silence_in_the_house_of_god,Amazing. Tragic. Brave. Compelling. Eye opening.
1.0,mea_maxima_culpa_silence_in_the_house_of_god,one of my favorite movie
1.0,mea_maxima_culpa_silence_in_the_house_of_god,This film expose the Catholic Church and the pedophile priests. Must see.
1.0,mea_maxima_culpa_silence_in_the_house_of_god,Chocada com os absurdos da Santa Igreja.
1.0,mea_maxima_culpa_silence_in_the_house_of_god,"A ÉSTO ME REFIERO CUANDO HABLO SOBRE LAS FUNCIONES DEL CINE. Muy buen documental, lo malo es que seguramente pasará desapercibido. SI TIENES OPORTUNIDAD, SERÍA UN PECADO PERDÉRTELO."
1.0,mea_maxima_culpa_silence_in_the_house_of_god,"A haunting look at a devastating set of scandals, and some of Gibney's best work."
1.0,mea_maxima_culpa_silence_in_the_house_of_god,"Shocking as hell, this documentary doesn't lack from anything and offers the audience a whole new spectacular experience by motivating most of it. Best 2013 documentary yet."
1.0,mea_maxima_culpa_silence_in_the_house_of_god,"A really disturbing story, beautifully told. Great documentary."
1.0,mea_maxima_culpa_silence_in_the_house_of_god,very interesting documentary
1.0,mea_maxima_culpa_silence_in_the_house_of_god,This is riveting. There is zero reason the Catholic church should be recognized as a state. Child molestation lead to the church's ultimate demise.
1.0,mea_maxima_culpa_silence_in_the_house_of_god,"Powerful and compelling, this is not a film to enjoy but one to be educated by, Gibney's film inspires an inherent sense of rage and shows that at the vein of everything, money, power and heinous people are always to be found. It is a film many will not watch but it's one we all should!"
1.0,mea_maxima_culpa_silence_in_the_house_of_god,Aihetta on käsitelty paljon mutta silti liian vähän!
1.0,mea_maxima_culpa_silence_in_the_house_of_god,"Stunning. Eschewing hyperbole, Gibney has allowed the subject matter to scream. In an age where the documentary maker aims to be as high-profile as the topic, this is refreshingly to the point. A gut-wrenching but compulsory piece of cinema."
1.0,mea_maxima_culpa_silence_in_the_house_of_god,"Shocking, shameful, and disgusting. The truth hurts."
1.0,mea_maxima_culpa_silence_in_the_house_of_god,A stunning documentary. Proof that the devil does exist . He's alive and well in the Vatican. Thankfully God exists too. He's alive and well in the people who have come forward in the face of true horror to share their stories. Truly terrifying.
